ts	avail_mib	gtt_mib	daemon_anon_mib	daemon_file_mib	eval_rss_mib
10:33:52	40074	53667	22318	1336	113
10:33:54	40005	53667	22318	1336	113
10:33:56	39919	53667	22318	1336	113
10:33:58	39928	53667	22318	1336	113
10:34:00	39941	53667	22318	1336	113
10:34:02	39985	53667	22316	1336	113
10:34:04	40018	53667	22316	1336	113
10:34:06	40061	53667	22316	1336	113
10:34:08	40081	53667	22316	1336	113
10:34:10	40114	53667	22316	1336	113
10:34:12	40133	53667	22316	1336	113
10:34:14	40147	53667	22316	1336	113
10:34:16	40236	53667	22253	1336	113
10:34:19	40251	53667	22253	1336	113
10:34:21	40262	53667	22253	1336	113
10:34:23	40275	53667	22253	1336	113
10:34:25	40281	53667	22253	1336	113
10:34:27	40290	53667	22253	1336	113
10:34:29	40293	53667	22253	1336	113
10:34:31	40298	53667	22253	1336	113
10:34:33	40296	53667	22253	1336	113
10:34:35	40303	53667	22253	1336	113
10:34:37	40306	53667	22253	1336	113
10:34:39	40309	53667	22253	1336	113
10:34:41	40309	53667	22253	1336	113
10:34:43	40309	53667	22253	1336	113
10:34:45	40309	53667	22253	1336	113
10:34:47	40051	53667	22514	1336	113
10:34:49	40055	53667	22514	1336	113
10:34:51	40057	53667	22514	1336	113
10:34:53	40056	53667	22514	1336	113
10:34:55	40058	53667	22514	1336	113
10:34:57	40055	53667	22514	1336	113
10:34:59	40055	53667	22514	1336	113
10:35:01	40055	53667	22514	1336	113
10:35:04	40055	53667	22514	1336	113
10:35:06	40052	53667	22514	1336	113
10:35:08	40052	53667	22514	1336	113
10:35:10	40050	53667	22514	1336	113
10:35:12	40048	53667	22514	1336	113
10:35:14	40042	53667	22514	1336	113
10:35:16	40049	53667	22514	1336	113
10:35:18	40050	53667	22514	1336	113
10:35:20	40047	53667	22514	1336	113
10:35:22	40049	53667	22514	1336	113
10:35:24	40052	53667	22514	1336	113
10:35:26	40053	53667	22514	1336	113
10:35:28	40056	53667	22514	1336	113
10:35:30	40057	53667	22514	1336	113
10:35:32	40056	53667	22514	1336	113
10:35:34	40056	53667	22514	1336	113
10:35:36	40053	53667	22514	1336	113
10:35:39	40054	53667	22514	1336	113
10:35:41	40053	53667	22514	1336	113
10:35:43	40053	53667	22514	1336	113
10:35:45	40057	53667	22514	1336	113
10:35:47	40058	53667	22514	1336	113
10:35:49	40055	53667	22514	1336	113
10:35:51	40057	53667	22514	1336	113
10:35:53	40058	53667	22514	1336	113
10:35:55	40058	53667	22514	1336	113
10:35:57	40058	53667	22514	1336	113
10:35:59	40058	53667	22514	1336	113
10:36:01	40057	53667	22514	1336	113
10:36:03	40055	53667	22514	1336	113
10:36:05	40057	53667	22514	1336	113
10:36:07	40059	53667	22514	1336	113
10:36:09	40060	53667	22514	1336	113
10:36:11	40057	53667	22514	1336	113
10:36:14	40056	53667	22514	1336	113
10:36:16	40057	53667	22514	1336	113
10:36:18	40058	53667	22514	1336	113
10:36:20	40057	53667	22514	1336	113
10:36:22	40056	53667	22514	1336	113
10:36:24	40059	53667	22514	1336	113
10:36:26	40056	53667	22514	1336	113
10:36:28	40054	53667	22514	1336	113
10:36:30	40048	53667	22514	1336	113
10:36:32	40050	53667	22514	1336	113
10:36:34	40052	53667	22514	1336	113
10:36:36	40056	53667	22514	1336	113
10:36:38	40319	53667	22253	1336	113
10:36:40	40321	53667	22253	1336	113
10:36:42	40322	53667	22253	1336	113
10:36:44	40321	53667	22253	1336	113
10:36:46	40322	53667	22253	1336	113
10:36:48	40316	53667	22253	1336	113
10:36:50	40282	53667	22289	1336	113
10:36:52	40280	53667	22289	1336	113
10:36:54	40282	53667	22289	1336	113
10:36:57	40279	53667	22289	1336	113
10:36:59	40277	53667	22289	1336	113
10:37:01	40318	53667	22253	1336	113
10:37:03	40319	53667	22253	1336	113
10:37:05	40319	53667	22253	1336	113
10:37:07	40316	53667	22253	1336	113
10:37:09	40315	53667	22253	1336	113
10:37:11	40317	53667	22253	1336	113
10:37:13	40319	53667	22253	1336	113
10:37:15	40315	53667	22253	1336	113
10:37:17	40315	53667	22253	1336	113
10:37:19	40317	53667	22253	1336	113
10:37:21	40317	53667	22253	1336	113
10:37:23	40320	53667	22253	1336	113
10:37:25	40317	53667	22253	1336	113
10:37:27	40312	53667	22253	1336	113
10:37:29	40313	53667	22253	1336	113
10:37:31	40316	53667	22253	1336	113
10:37:33	40311	53667	22253	1336	113
10:37:35	40317	53667	22253	1336	113
10:37:37	40317	53667	22253	1336	113
10:37:39	40264	53667	22253	1336	113
10:37:41	40260	53667	22259	1336	113
